"countryname","year","lifeladder","loggdppercapita","socialsupport","healthylifeexpectancyatbirth","freedomtomakelifechoices","generosity","perceptionsofcorruption","positiveaffect","negativeaffect","code","house_price","ptr_ratio","r_house_price","rent_price","gini","life_expectancy","social_expenditure","housing_expenditure_ratio","ownership","pri_ratio","employment_rate","idcode","gini_dum","social_expenditure_dum","gini_dum_int","socialexp_dum_int","owner_dum","owner_dum_int","gini_dum_int_sq","soci_ex_2"
"Denmark",2016,7.5580001,10.9,0.954,70.625,0.94800001,0.132,0.20999999,0.78600001,0.208,"DNK",104.6,103.2,104.5,101.3,0.261,80.900002,31.583,28.981518,52.5,99.699997,72.675003,"Denmark",1,1,0.26100001,31.583,1,52.5,0.068121001,56.1
"Denmark",2017,7.5939999,10.922,0.95200002,70.75,0.95499998,0.149,0.18099999,0.77899998,0.206,"DNK",109.7,106.6,108.6,103,0.264,81.099998,31.247,28.467745,53.900002,102.8,73.224998,"Denmark",1,1,0.264,31.247,1,53.900002,0.069696002,57.3
"Denmark",2018,7.6490002,10.936,0.958,70.875,0.935,0.012,0.15099999,0.773,0.206,"DNK",114.6,110,112.9,104.2,0.263,81,30.816,28.403517,52.900002,104.7,74.125,"Denmark",1,1,0.26300001,30.816,1,52.900002,0.069169007,56.4
"Denmark",2019,7.6929998,10.948,0.958,71,0.963,0.015,0.17399999,0.79699999,0.18099999,"DNK",117.2,111.5,114.5,105.1,0.268,81.5,30.796,28.092548,52.700001,104,75,"Denmark",1,1,0.26800001,30.796,1,52.700001,0.071824007,57.3
"Estonia",2012,5.3639998,10.275,0.889,67.459999,0.69700003,-0.197,0.79299998,0.62699997,0.199,"EST",74.400002,101,77.300003,73.599998,NA,76.699997,15.753,19.646843,78.300003,91.300003,67.974998,"Estonia",0,1,0,15.753,1,78.300003,0,40.1
"Estonia",2013,5.3670001,10.293,0.90100002,67.739998,0.75400001,-0.206,0.72600001,0.65100002,0.199,"EST",82.300003,97.900002,83,84,0.356,77.5,15.676,19.123291,76.5,91.800003,69.175003,"Estonia",1,1,0.35600001,15.676,1,76.5,0.126736,40.8
"Estonia",2014,5.5560002,10.325,0.917,68.019997,0.773,-0.15800001,0.65200001,0.62,0.20299999,"EST",93.599998,100.4,93.699997,93.199997,0.346,77.400002,15.983,18.522295,77.199997,100.3,70.224998,"Estonia",1,1,0.34599999,15.983,1,77.199997,0.11971599,42.3
"Estonia",2015,5.6290002,10.343,0.91799998,68.300003,0.815,-0.169,0.56900001,0.64899999,0.183,"EST",100,100,100,100,0.33,78,17.278999,18.123709,76.900002,100,72.074997,"Estonia",1,1,0.33000001,17.278999,1,76.900002,0.10890001,43.7
"Estonia",2016,5.6500001,10.374,0.93800002,68.525002,0.84299999,-0.155,0.639,0.65700001,0.177,"EST",104.7,98.300003,102.9,106.5,0.314,78,17.533001,17.959969,76.300003,99.900002,72.400002,"Estonia",1,1,0.31400001,17.533001,1,76.300003,0.098596007,44.5
"Estonia",2017,5.9380002,10.429,0.93599999,68.75,0.86199999,-0.107,0.66799998,0.74000001,0.16,"EST",110.5,96.699997,103.9,114.3,0.309,78.400002,17.028,17.888275,77.099998,97.900002,74.5,"Estonia",1,1,0.30899999,17.028,1,77.099998,0.095480993,43.4
"Estonia",2018,6.0910001,10.463,0.93300003,68.974998,0.88599998,-0.147,0.62099999,0.73000002,0.163,"EST",117.1,96,106.3,121.9,0.305,78.5,17.462,18.005636,77.400002,92.099998,75.050003,"Estonia",1,1,0.30500001,17.462,1,77.400002,0.093025006,44.5
"Estonia",2019,6.0349998,10.496,0.93400002,69.199997,0.88700002,-0.101,0.57599998,0.73799998,0.156,"EST",125.3,95.800003,110.4,130.7,0.305,79,17.907,18.497095,76.400002,93,75.550003,"Estonia",1,1,0.30500001,17.907,1,76.400002,0.093025006,45.5
"Finland",2012,7.4200001,10.735,0.92799997,70.040001,0.921,-0.0070000002,0.361,0.74199998,0.20200001,"FIN",99.199997,108.4,103.4,91.5,0.26,80.699997,28.438,25.857769,68.099998,102.5,68.449997,"Finland",1,1,0.25999999,28.438,1,68.099998,0.067599997,51.1
